gene_symbol,ncbi_gene,ensembl_gene,db_gene_symbol,db_ncbi_gene,db_ensembl_gene,source_gene,gs_id,gs_name,gs_collection,gs_subcollection,gs_collection_name,gs_description,gs_source_species,gs_pmid,gs_geoid,gs_exact_source,gs_url,db_version,db_target_species,ortholog_taxon_id,ortholog_sources,num_ortholog_sources
Adig,246747,ENSMUSG00000044405,ADIG,149685,ENSG00000182035,ADIG,M5905,HALLMARK_ADIPOGENESIS,H,"",Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,"","","",2025.1.Hs,HS,10090,Ensembl|HGNC|Inparanoid|NCBI|OMA|OrthoDB|Panther|PhylomeDB,8
Adipoq,11450,ENSMUSG00000022878,ADIPOQ,9370,ENSG00000181092,ADIPOQ,M5905,HALLMARK_ADIPOGENESIS,H,"",Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,"","","",2025.1.Hs,HS,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther,10
Adipor2,68465,ENSMUSG00000030168,ADIPOR2,79602,ENSG00000006831,ADIPOR2,M5905,HALLMARK_ADIPOGENESIS,H,"",Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,"","","",2025.1.Hs,HS,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
Agpat3,28169,ENSMUSG00000001211,AGPAT3,56894,ENSG00000160216,AGPAT3,M5905,HALLMARK_ADIPOGENESIS,H,"",Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,"","","",2025.1.Hs,HS,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
Aifm1,26926,ENSMUSG00000036932,AIFM1,9131,ENSG00000156709,AIFM1,M5905,HALLMARK_ADIPOGENESIS,H,"",Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,"","","",2025.1.Hs,HS,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
Ak2,11637,ENSMUSG00000028792,AK2,204,ENSG00000004455,AK2,M5905,HALLMARK_ADIPOGENESIS,H,"",Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,"","","",2025.1.Hs,HS,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
Aldh2,11669,ENSMUSG00000029455,ALDH2,217,ENSG00000111275,ALDH2,M5905,HALLMARK_ADIPOGENESIS,H,"",Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,"","","",2025.1.Hs,HS,10090,Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,11
Aldoa,11674,ENSMUSG00000030695,ALDOA,226,ENSG00000149925,ALDOA,M5905,HALLMARK_ADIPOGENESIS,H,"",Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,"","","",2025.1.Hs,HS,10090,Ensembl|Inparanoid|OMA|OrthoMCL,4
Angpt1,11600,ENSMUSG00000022309,ANGPT1,284,ENSG00000154188,ANGPT1,M5905,HALLMARK_ADIPOGENESIS,H,"",Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,"","","",2025.1.Hs,HS,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|Treefam,11
Angptl4,57875,ENSMUSG00000002289,ANGPTL4,51129,ENSG00000167772,ANGPTL4,M5905,HALLMARK_ADIPOGENESIS,H,"",Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,"","","",2025.1.Hs,HS,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
Aplp2,11804,ENSMUSG00000031996,APLP2,334,ENSG00000084234,APLP2,M5905,HALLMARK_ADIPOGENESIS,H,"",Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,"","","",2025.1.Hs,HS,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|Treefam,11
Apoe,11816,ENSMUSG00000002985,APOE,348,ENSG00000130203,APOE,M5905,HALLMARK_ADIPOGENESIS,H,"",Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,"","","",2025.1.Hs,HS,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
Araf,11836,ENSMUSG00000001127,ARAF,369,ENSG00000078061,ARAF,M5905,HALLMARK_ADIPOGENESIS,H,"",Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,"","","",2025.1.Hs,HS,10090,Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,11
Arl4a,11861,ENSMUSG00000047446,ARL4A,10124,ENSG00000122644,ARL4A,M5905,HALLMARK_ADIPOGENESIS,H,"",Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,"","","",2025.1.Hs,HS,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|Treefam,11
Atl2,56298,ENSMUSG00000059811,ATL2,64225,ENSG00000119787,ATL2,M5905,HALLMARK_ADIPOGENESIS,H,"",Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,"","","",2025.1.Hs,HS,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
Atp1b3,11933,ENSMUSG00000032412,ATP1B3,483,ENSG00000069849,ATP1B3,M5905,HALLMARK_ADIPOGENESIS,H,"",Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,"","","",2025.1.Hs,HS,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
Atp5o,28080,ENSMUSG00000022956,ATP5PO,539,ENSG00000241837,ATP5O,M5905,HALLMARK_ADIPOGENESIS,H,"",Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,"","","",2025.1.Hs,HS,10090,Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,11
Baz2a,116848,ENSMUSG00000040054,BAZ2A,11176,ENSG00000076108,BAZ2A,M5905,HALLMARK_ADIPOGENESIS,H,"",Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,"","","",2025.1.Hs,HS,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
Bckdha,12039,ENSMUSG00000060376,BCKDHA,593,ENSG00000248098,BCKDHA,M5905,HALLMARK_ADIPOGENESIS,H,"",Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,"","","",2025.1.Hs,HS,10090,Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,11
Bcl2l13,94044,ENSMUSG00000009112,BCL2L13,23786,ENSG00000099968,BCL2L13,M5905,HALLMARK_ADIPOGENESIS,H,"",Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,"","","",2025.1.Hs,HS,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|Treefam,11
Bcl6,12053,ENSMUSG00000022508,BCL6,604,ENSG00000113916,BCL6,M5905,HALLMARK_ADIPOGENESIS,H,"",Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,"","","",2025.1.Hs,HS,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
C3,12266,ENSMUSG00000024164,C3,718,ENSG00000125730,C3,M5905,HALLMARK_ADIPOGENESIS,H,"",Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,"","","",2025.1.Hs,HS,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|Treefam,11
Cat,12359,ENSMUSG00000027187,CAT,847,ENSG00000121691,CAT,M5905,HALLMARK_ADIPOGENESIS,H,"",Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,"","","",2025.1.Hs,HS,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|Treefam,11
Cavin1,19285,ENSMUSG00000004044,CAVIN1,284119,ENSG00000177469,PTRF,M5905,HALLMARK_ADIPOGENESIS,H,"",Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,"","","",2025.1.Hs,HS,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
Cavin2,20324,ENSMUSG00000045954,CAVIN2,8436,ENSG00000168497,SDPR,M5905,HALLMARK_ADIPOGENESIS,H,"",Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,"","","",2025.1.Hs,HS,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
Ccng2,12452,ENSMUSG00000029385,CCNG2,901,ENSG00000138764,CCNG2,M5905,HALLMARK_ADIPOGENESIS,H,"",Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,"","","",2025.1.Hs,HS,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
Cd151,12476,ENSMUSG00000025510,CD151,977,ENSG00000177697,CD151,M5905,HALLMARK_ADIPOGENESIS,H,"",Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,"","","",2025.1.Hs,HS,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
Cd302,66205,ENSMUSG00000060703,CD302,9936,ENSG00000241399,CD302,M5905,HALLMARK_ADIPOGENESIS,H,"",Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,"","","",2025.1.Hs,HS,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoMCL|Panther|PhylomeDB,10
Cd36,12491,ENSMUSG00000002944,CD36,948,ENSG00000135218,CD36,M5905,HALLMARK_ADIPOGENESIS,H,"",Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,"","","",2025.1.Hs,HS,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
Cdkn2c,12580,ENSMUSG00000028551,CDKN2C,1031,ENSG00000123080,CDKN2C,M5905,HALLMARK_ADIPOGENESIS,H,"",Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,"","","",2025.1.Hs,HS,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|PhylomeDB|Treefam,11
Chchd10,103172,ENSMUSG00000049422,CHCHD10,400916,ENSG00000250479,CHCHD10,M5905,HALLMARK_ADIPOGENESIS,H,"",Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,"","","",2025.1.Hs,HS,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
Chuk,12675,ENSMUSG00000025199,CHUK,1147,ENSG00000213341,CHUK,M5905,HALLMARK_ADIPOGENESIS,H,"",Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,"","","",2025.1.Hs,HS,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
Cidea,12683,ENSMUSG00000024526,CIDEA,1149,ENSG00000176194,CIDEA,M5905,HALLMARK_ADIPOGENESIS,H,"",Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,"","","",2025.1.Hs,HS,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|Treefam,11
Cmbl,69574,ENSMUSG00000022235,CMBL,134147,ENSG00000164237,CMBL,M5905,HALLMARK_ADIPOGENESIS,H,"",Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,"","","",2025.1.Hs,HS,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
Cmpk1,66588,ENSMUSG00000028719,CMPK1,51727,ENSG00000162368,CMPK1,M5905,HALLMARK_ADIPOGENESIS,H,"",Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,"","","",2025.1.Hs,HS,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
Col15a1,12819,ENSMUSG00000028339,COL15A1,1306,ENSG00000204291,COL15A1,M5905,HALLMARK_ADIPOGENESIS,H,"",Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,"","","",2025.1.Hs,HS,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
Col4a1,12826,ENSMUSG00000031502,COL4A1,1282,ENSG00000187498,COL4A1,M5905,HALLMARK_ADIPOGENESIS,H,"",Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,"","","",2025.1.Hs,HS,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
Coq3,230027,ENSMUSG00000028247,COQ3,51805,ENSG00000132423,COQ3,M5905,HALLMARK_ADIPOGENESIS,H,"",Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,"","","",2025.1.Hs,HS,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
Coq5,52064,ENSMUSG00000041733,COQ5,84274,ENSG00000110871,COQ5,M5905,HALLMARK_ADIPOGENESIS,H,"",Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,"","","",2025.1.Hs,HS,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
Coq9,67914,ENSMUSG00000031782,COQ9,57017,ENSG00000088682,COQ9,M5905,HALLMARK_ADIPOGENESIS,H,"",Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,"","","",2025.1.Hs,HS,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
Cox6a1,12861,ENSMUSG00000041697,COX6A1,1337,ENSG00000111775,COX6A1,M5905,HALLMARK_ADIPOGENESIS,H,"",Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,"","","",2025.1.Hs,HS,10090,Ensembl|HGNC|HomoloGene|NCBI|OMA|OrthoDB|OrthoMCL|Panther|Treefam,9
Cox7b,66142,ENSMUSG00000031231,COX7B,1349,ENSG00000131174,COX7B,M5905,HALLMARK_ADIPOGENESIS,H,"",Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,"","","",2025.1.Hs,HS,10090,Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB,10
Cox8a,12868,ENSMUSG00000035885,COX8A,1351,ENSG00000176340,COX8A,M5905,HALLMARK_ADIPOGENESIS,H,"",Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,"","","",2025.1.Hs,HS,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
Cpt2,12896,ENSMUSG00000028607,CPT2,1376,ENSG00000157184,CPT2,M5905,HALLMARK_ADIPOGENESIS,H,"",Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,"","","",2025.1.Hs,HS,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|Treefam,11
Crat,12908,ENSMUSG00000026853,CRAT,1384,ENSG00000095321,CRAT,M5905,HALLMARK_ADIPOGENESIS,H,"",Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,"","","",2025.1.Hs,HS,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
Cs,12974,ENSMUSG00000005683,CS,1431,ENSG00000062485,CS,M5905,HALLMARK_ADIPOGENESIS,H,"",Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,"","","",2025.1.Hs,HS,10090,Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,11
Cyc1,66445,ENSMUSG00000022551,CYC1,1537,ENSG00000179091,CYC1,M5905,HALLMARK_ADIPOGENESIS,H,"",Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,"","","",2025.1.Hs,HS,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
Cyp4b1,13120,ENSMUSG00000028713,CYP4B1,1580,ENSG00000142973,CYP4B1,M5905,HALLMARK_ADIPOGENESIS,H,"",Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,"","","",2025.1.Hs,HS,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
Dbt,13171,ENSMUSG00000000340,DBT,1629,ENSG00000137992,DBT,M5905,HALLMARK_ADIPOGENESIS,H,"",Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,"","","",2025.1.Hs,HS,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|Treefam,11
Ddt,13202,ENSMUSG00000001666,DDT,1652,ENSG00000099977,DDT,M5905,HALLMARK_ADIPOGENESIS,H,"",Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,"","","",2025.1.Hs,HS,10090,EggNOG|Ensembl|HGNC|OMA|OrthoMCL|Panther|PhylomeDB|Treefam,8
Decr1,67460,ENSMUSG00000028223,DECR1,1666,ENSG00000104325,DECR1,M5905,HALLMARK_ADIPOGENESIS,H,"",Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,"","","",2025.1.Hs,HS,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
Dgat1,13350,ENSMUSG00000022555,DGAT1,8694,ENSG00000185000,DGAT1,M5905,HALLMARK_ADIPOGENESIS,H,"",Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,"","","",2025.1.Hs,HS,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
Dhcr7,13360,ENSMUSG00000058454,DHCR7,1717,ENSG00000172893,DHCR7,M5905,HALLMARK_ADIPOGENESIS,H,"",Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,"","","",2025.1.Hs,HS,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
Dhrs7,66375,ENSMUSG00000021094,DHRS7,51635,ENSG00000100612,DHRS7,M5905,HALLMARK_ADIPOGENESIS,H,"",Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,"","","",2025.1.Hs,HS,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
Dhrs7b,216820,ENSMUSG00000042569,DHRS7B,25979,ENSG00000109016,DHRS7B,M5905,HALLMARK_ADIPOGENESIS,H,"",Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,"","","",2025.1.Hs,HS,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
Dlat,235339,ENSMUSG00000000168,DLAT,1737,ENSG00000150768,DLAT,M5905,HALLMARK_ADIPOGENESIS,H,"",Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,"","","",2025.1.Hs,HS,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
Dld,13382,ENSMUSG00000020664,DLD,1738,ENSG00000091140,DLD,M5905,HALLMARK_ADIPOGENESIS,H,"",Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,"","","",2025.1.Hs,HS,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
Dnajb9,27362,ENSMUSG00000014905,DNAJB9,4189,ENSG00000128590,DNAJB9,M5905,HALLMARK_ADIPOGENESIS,H,"",Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,"","","",2025.1.Hs,HS,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|Treefam,11
